temperature_K,pressure_Pa,cp_J_kgK,dyn_visc_Pa_s,therm_cond_W_mK,density_kg_m3,freezing_pt_K,boiling_pt_K
255.35,101325,3265.704,0.022,0.346746306,1099.967,236.35,380.35
277.55,101325,3328.506,0.0065,0.364973394,1087.96736,-36.79999999999998,107.20000000000005
299.85,101325,3412.242,0.0028,0.380900946,1073.82285,,
322.05,101325,3483.4176,0.0015,0.394386114,1051.27456,,
344.25,101325,3558.78,0.00095,0.40550565,1026.648,,
366.45,101325,3621.582,0.0007,0.414259554,998.44182,,
